"nmds_1" "nmds_2" "nmds_3" "nmds_4"
"bib_CHUNB56555" -0.161780043242408 0.0770663169190331 -0.0823275190618378 -0.0272331253548391
"bib_CHUNB56918" -0.117165458166318 0.0748479059579865 -0.107495451219742 0.101134911467118
"bib_CHUNB57375" -0.202156338781675 0.119330495804631 0.0101033459719165 -0.043603589238355
"bib_CHUNB57376" -0.158137918513886 0.103389903252508 0.0427977001077762 -0.0391129066188393
"bib_CHUNB57377" -0.103688791998284 -0.0517551231281236 -0.0447437261270474 -0.099846282007834
"bib_CHUNB57378" -0.121941248165958 0.0465880058954654 0.0587725372364703 0.105962906960336
"bib_CHUNB64577" -0.181926277076881 0.0948225318590569 0.0770405945343492 -0.091245348062787
"bib_CHUNB64578" -0.0916645480678388 0.074617383171396 -0.0630830805032983 0.0485026017021761
"bib_CHUNB64579" -0.0046232973452337 -0.121172395935482 -0.0230517091535013 0.0399906874668916
"bib_CHUNB64603" -0.0698319266943629 -0.112275339162447 0.0521155324972913 0.0838708557173004
"bib_CHUNB64604" -0.0768631237433693 -0.0992536221016848 0.147047756000098 0.0459507638265491
"bib_CHUNB64605" -0.164749428821272 0.0636791243001708 -0.0506871486608674 -0.0114276399897323
"bib_CHUNB64606" -0.0447789257611136 0.135414911607442 -0.0441822691217973 0.0620429963832293
"bib_CHUNB64607" -0.107099074135468 -0.0148277102904167 0.0907286221711395 0.0252812489603634
"bib_CHUNB64609" -0.108039161965369 -0.00662653032918176 -0.0426705095917297 0.0454340698350702
"bib_CHUNB64610" -0.0974495087378767 -0.157771714541445 0.00868659734982785 -0.0951976994709204
"bib_MZUSP65628" -0.0919423232625686 -0.121147193567548 -0.124199992821607 0.000622390820800795
"bib_MZUSP66105" -0.0920120946318354 -0.0509540108485052 -0.091259433762035 -0.0742653443812534
"bib_MZUSP78721" -0.124343305653542 -0.0787299478856334 -0.0549225515013307 0.0413684424529611
"bib_MZUSP87592" -0.0651875944805554 -0.11450694222018 -0.0765131107447384 -0.00285326448562695
"bil_MCNR445" 0.17562792828685 0.0375827005103252 0.00686546152629514 -0.0842659586501963
"bil_MCNR522" 0.236511830766305 0.0781317295242884 -0.0334295406908597 -0.0310916684005379
"bil_MCNR3277" 0.193851041251377 -0.0214251795389903 -0.00939595482080661 -0.0656077030058063
"bil_MCNR3557" 0.168517665758768 0.038861446264751 0.0087696502147728 -0.0808518206204839
"bil_MZUSP5366" 0.209914309644188 0.054377201843185 -0.0417779808827983 0.00748021977457565
"bil_MZUSP10410" 0.0793752279856166 0.0179826029877444 0.148531090557477 -0.000248746106940552
"bil_MZUSP29698" 0.197011927166556 -0.110781351072171 0.00650185583796587 -0.0383205895288296
"bil_MZUSP39522" 0.216985737134289 -0.086674401255913 -0.0134866718328326 0.0554070189523502
"bil_MZUSP42778" 0.177769756542751 0.0663115713739954 -0.0156255014743879 0.0129689097165588
"bil_CHUNB36171" 0.207011445227714 0.0288137037667137 0.0190566532531995 0.107433608118624
"bil_CHUNB36172" 0.203365126446768 0.0233549935932748 0.0242901928432564 0.0516979921723199
